Damage,Temperature,Position,W1,W2,W3,N1,N2
undamaged,-5,Pos_1,7.819825410842896e-05,0.00017025542259216307,5.431953072547913e-05,0.00011765606427590888,-8.827130656851699e-05
undamaged,-5,Pos_2,9.971806406974793e-05,0.0002213010787963867,9.316658973693848e-05,0.00014468116763073348,-0.0001492878641530551
undamaged,-5,Pos_3,8.822658658027649e-05,0.00021288537979125975,9.442099928855896e-05,0.00012880024911085959,-0.0001512914767544194
undamaged,5,Pos_1,8.264005184173584e-05,0.0001814841032028198,5.786755681037903e-05,0.00012289578170577472,-9.374847185729324e-05
undamaged,5,Pos_2,0.00010479146242141723,0.0002338348627090454,9.87531840801239e-05,0.0001526449035427761,-0.00015592704152683857
undamaged,5,Pos_3,9.304302930831909e-05,0.00022375118732452393,9.979942440986634e-05,0.00013114169826066265,-0.00015716187442290267
undamaged,25,Pos_1,8.510220050811768e-05,0.00018743896484375,6.006965041160584e-05,0.00012725618784212907,-9.173133539101839e-05
undamaged,25,Pos_2,0.0001057431697845459,0.00023942804336547852,9.998342394828797e-05,0.00015441392910280722,-0.00015179081945880928
undamaged,25,Pos_3,9.453314542770385e-05,0.00023070812225341796,0.00010154691338539124,0.00013780272187776318,-0.00015447270590030312
undamaged,40,Pos_1,9.002256393432617e-05,0.0002045736312866211,6.404757499694824e-05,0.00013860167020478696,-0.0001033691412952045
undamaged,40,Pos_2,0.00011390846967697144,0.00026169872283935547,0.00010790663957595825,0.0001727749163878174,-0.00016878199527297497
undamaged,40,Pos_3,0.00010456764698028565,0.00025546479225158693,0.00011126899719238282,0.00015916938813914503,-0.00017581336472916465
